Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	classification	classification_tags
ICA_20	38.25902448923408	17.634690316029346	61.77886366424621	0.5846646099071189	6957	3945	0.5706218886990118	0.2377992329057003	1080	-0.2871349384664921	0.7755223449191464	20.4	1	rejected	Unlikely BOLD
ICA_21	113.32195569272496	17.131857063794747	0.6592417874889593	0.009512633237531726	6869	5443	0.8027301728614883	0.6685025163802109	558	11.921918879113317	9.245347322206287e-31	7.0	-1	accepted	Likely BOLD
ICA_22	150.4589232537878	18.679807190989298	1.7361301879743316	0.02123577620392873	7385	5986	0.8229828516772563	0.7121391186898531	473	6.986559393989478	5.7081332786228545e-12	6.0	1	accepted	Likely BOLD
ICA_23	101.47758068171257	17.889022138203288	0.5871251607460606	0.007169680926820151	6874	5337	0.8062151861624157	0.6936072182760606	544	11.738892171581192	5.893722860366243e-30	7.4	-1	accepted	Likely BOLD
ICA_24	24.80894549619722	29.39354232105266	0.8183176135221243	0.011193541728505002	4191	4124	0.5353547604608854	0.462260654725139	658	-1.8084813292005955	0.07081542546253629	26.8	-1	rejected	Unlikely BOLD
ICA_25	71.02213069734792	16.073967079156066	0.4836022863787397	0.01253073616844781	6733	4760	0.7544060425726711	0.5840237943488421	237	7.692539891551299	1.9464196252819865e-13	11.4	1	accepted	Likely BOLD
ICA_26	107.29392045272857	17.062273253966477	0.9525579206948922	0.012023788864684252	6914	5023	0.781893603085656	0.6484968272131488	554	15.478983716617416	7.70360170494089e-49	6.1	-1	accepted	Likely BOLD
ICA_27	51.09924513858921	18.218667926674154	0.36337930522349754	0.005300347100275633	6450	4811	0.7709453050901043	0.6168590720975822	901	11.917056108010371	4.67400062168667e-31	14.6	-1	accepted	Likely BOLD
ICA_28	142.25697765759847	17.449135819140533	1.3756114829341832	0.013954479974031164	6711	5310	0.8009431809538298	0.7128215045445755	432	10.12147739994582	1.1981929153630723e-22	7.4	1	accepted	Likely BOLD
ICA_29	26.39644816985576	25.681503540400346	0.6017474967933021	0.004785305792093669	4569	3244	0.6441183214858978	0.5259063326590945	991	4.662146954395746	3.790990492987249e-06	24.4	1	rejected	Unlikely BOLD
ICA_30	181.93374819645604	31.15423191187827	9.692047164345459	0.0762776571775885	5915	4411	0.727662233330358	0.637291280148423	75	2.946739695088816	0.0041811914103127065	11.8	1	accepted	Likely BOLD
ICA_31	20.621212688965514	21.512949149095956	0.33907902297286446	0.005498785862090994	3757	3789	0.5436841403227958	0.49399339933993397	988	-0.4488897302389452	0.6536867825001036	28.6	-1	rejected	Unlikely BOLD
ICA_32	26.41716867435795	13.00933217060587	0.2816599973555239	0.0039726810953320665	4266	2976	0.655431172345922	0.4989885367498314	1289	7.362750515394511	1.0002866324330766e-11	24.8	-1	rejected	Unlikely BOLD
