Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	varex kappa ratio	d_table_score_node20	classification	classification_tags
ICA_00	27.78187493835517	15.531078961654794	0.79994448273103	0.009005939399668	4034	2391	0.5561334517315742	0.3492933980172959	1341	0.3532987879848933	0.725333866395117	27.6	-1	4.360516815102416	15.2	rejected	Less likely BOLD
ICA_01	33.63074740492717	21.094377972533103	0.2890643745468979	0.0059830365565319	6056	4901	0.7217841092173323	0.5818024637994381	618	11.218694863609246	8.625420819129872e-28	16.6	-1	1.3016604873981323	n/a	accepted	Low variance
ICA_02	27.225812423055448	16.01506042931802	0.386876651457641	0.0048872272695059	3662	2603	0.5860037361689898	0.4197676708013388	1379	12.380212040489107	1.4587941169823377e-19	24.8	1	2.151945867264841	13.6	accepted	Likely BOLD
ICA_03	104.69951659826012	17.331378461814143	0.813227058516597	0.009398515194779	6914	5144	0.7980127539670769	0.6933971673648514	579	13.704304263160598	1.3147675199677352e-39	7.3	-1	1.1762694403080642	4.2	accepted	Likely BOLD
ICA_04	37.20528030627527	17.664317233763434	0.3809290619595851	0.0039828113826391	4597	3517	0.6685952325850497	0.5480427046263345	1148	12.388865199182488	2.1932616443338153e-30	19.2	-1	1.5505265120617322	10.8	accepted	Likely BOLD
ICA_05	43.314963566236955	13.058859361724297	0.3006438439946212	0.0051147222843864	3954	2529	0.6281254134144728	0.4353274050121261	850	14.452735381126232	1.805313319763232e-42	18.8	1	1.0511241936936777	n/a	accepted	Low variance
ICA_06	110.7672744146064	19.90423906599142	0.921936590281997	0.0116215979535622	7085	5456	0.8254710298909194	0.7014428412874584	581	9.170586894079888	2.5360196937190637e-19	7.6	1	1.2604605352412317	n/a	rejected	Less likely BOLD
ICA_07	82.94632733488989	18.19040481995011	1.1135764489103326	0.0127038870340464	6628	5043	0.7719404798056484	0.6351185609157809	847	11.70470777603535	5.466353307704926e-30	13.0	-1	2.0331178173130606	n/a	rejected	Less likely BOLD
ICA_08	25.765396961462216	24.555596529220743	1.2390496538747091	0.0126999906844975	3893	3142	0.4863624088576829	0.4003944773175542	766	-2.591866574560295	0.0097240614354563	28.4	1	7.282685289126163	n/a	rejected	Unlikely BOLD
ICA_09	54.18671792361819	29.784231867376764	0.9786434055591272	0.0110691977190039	6744	5923	0.6247194373784228	0.4747527329515877	1215	7.506225907481784	9.692916423052525e-13	19.0	1	2.735087958358734	n/a	rejected	Less likely BOLD
ICA_10	32.951012988376846	26.946265402479476	1.3100101909689204	0.0146941578589599	4445	3738	0.5430508474576271	0.4437086092715231	754	2.932128271123077	0.0034382211835767	24.2	-1	6.020680402005624	n/a	rejected	Less likely BOLD
ICA_11	42.13631971524068	35.048217287612054	0.7563142601171094	0.0086321890334497	7303	6571	0.6869997239856472	0.5545283610153557	1383	5.276818250942667	1.6056198738390576e-06	18.6	1	2.718224725044445	10.6	rejected	Less likely BOLD
ICA_12	95.6139351806357	17.171149858730864	0.8465138193808844	0.0113693464182104	6708	4916	0.7746987951807229	0.6513361013520707	519	15.493096751526682	4.1255742403025765e-48	7.6	-1	1.340764584248601	4.4	accepted	Likely BOLD
ICA_13	37.66247785022191	19.288223107594124	6.20804168654181	0.0522143871594998	5243	3704	0.5385585410806092	0.2675838831952828	1359	-6.692653578475897	6.013896138543405e-09	26.8	1	24.962346391043372	n/a	rejected	Unlikely BOLD
ICA_14	28.352701227836988	12.64554348969233	0.513139993594029	0.0070598493196371	5699	3522	0.6949616648411829	0.5064876957494407	1155	4.1109280888559505	4.772047587895981e-05	22.6	1	2.7408236504036534	12.6	accepted	Likely BOLD
ICA_15	36.3558397133899	15.043613316179346	0.4640535559022434	0.0065616785502316	7175	5547	0.7527592267135325	0.6110698365527489	763	9.332139608670092	4.9939103911614233e-20	14.2	-1	1.9330077489677384	8.6	accepted	Likely BOLD
ICA_16	124.08618872392826	20.558168828282874	0.8133781803559593	0.011893075594343	4572	3382	0.705707082282833	0.6376078548051175	201	14.358365402848657	4.9077864980807735e-34	10.4	1	0.9926787896267304	5.6	rejected	Less likely BOLD
ICA_17	156.99274054236386	18.142546391930168	1.3434745691318677	0.0198905742392556	6179	4769	0.7746502331778814	0.6403222294796429	179	8.203835150848299	1.1241732678559638e-14	8.8	1	1.295953889267817	n/a	rejected	Less likely BOLD
