Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	estimated normalized variance explained	classification	rationale
PCA_20	43.53625989544414	15.719149426058753	0.5191681284296779	0.0056965131618509895	6825	4871	0.7604120676968359	0.5893443491155598	987	5.416123987209935	7.961183806507838e-08	14.4	1	0.00471624979532598	accepted	n/a
PCA_21	37.33009891704675	16.013717480182592	0.26449083450316646	0.005170180563473866	5891	4799	0.7304803493449782	0.5806240453851189	1043	10.372907664566243	1.0754214841330372e-23	16.6	-1	0.003951720024246572	accepted	n/a
PCA_22	28.812146485235868	16.844712457909452	0.20877495647390604	0.004911745660615899	5297	3839	0.6706704735650291	0.5290392130440641	1076	8.107158065702082	1.825597192973044e-15	21.2	1	0.003614566465383078	accepted	n/a
PCA_23	35.85390957017005	17.847432283467796	0.2619058056612747	0.004746539362186227	5194	4076	0.6980115584288373	0.546308890812415	1172	10.935395419343829	5.338032102553257e-25	19.6	-1	0.0034636205510229887	accepted	n/a
PCA_24	41.518933554240384	13.855857941308757	0.2560220351650444	0.004393581475280858	6463	4591	0.7436383752173226	0.6180351106749536	1178	17.09658522880016	4.255213218867784e-50	14.4	1	0.0036635795958505843	accepted	n/a
PCA_25	29.840072216817696	15.624658302426214	0.16876435137597343	0.0039573025231229636	4784	3908	0.6797287113790504	0.5532525094511798	1305	11.640255855991592	4.008522080543668e-25	21.6	1	0.002958469973634058	accepted	n/a
PCA_26	27.09609821186977	16.79775822232179	0.19961628015022068	0.003821250502885313	4944	3880	0.6933605720122574	0.54280658772288	1142	-1.117995259639672	0.26414636571415023	25.2	1	0.002872425894970163	accepted	n/a
PCA_27	27.4185631088913	15.411516217296791	0.18860300609548092	0.003637229499100105	5210	4213	0.7194552529182879	0.5761572921851668	1182	7.305478338995289	1.6848617713533032e-12	21.8	-1	0.0028468176624156234	accepted	n/a
PCA_28	24.499432599885242	15.205321753046794	0.17355393363828003	0.003628044098587869	4302	3239	0.67724609375	0.5248341692282802	1307	3.7080079450746832	0.0002742050319946849	27.2	1	0.0026783957722840202	accepted	n/a
PCA_29	21.35349456208342	15.003462967223875	0.20866833057206088	0.0035107488144604355	4363	3426	0.6507826887661142	0.5146216017634092	1212	4.242176702377433	2.8526251349740843e-05	27.0	1	0.0026829817193460893	accepted	n/a
PCA_30	27.00674191924368	13.899841314670144	0.1962801636229538	0.003436715716669512	3986	2780	0.6399692937563971	0.47032390938026586	1358	7.25916248564712	8.07456938568288e-11	28.0	-1	0.0025453933566155283	accepted	n/a
PCA_31	20.635315365741135	14.705244897849925	0.14143255671113011	0.0033526146680581963	3835	3278	0.6378006872852233	0.4927400468384075	1345	2.36975412506426	0.01910979096795877	30.0	1	0.0024714074274478303	accepted	n/a
PCA_32	24.130479375592536	14.828769807225926	0.13538934165233474	0.0031278962778780676	4190	3144	0.68	0.5473104342190538	1355	1.0334181038741581	0.30463664042638705	28.4	-1	0.002275804420435195	accepted	n/a
